,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
19,11517,Money Train,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",60000000, Action Comedy Crime,1995-11-21,7.337906,35431113.0,Joseph Ruben, Wesley Snipes Woody Harrelson Jennifer Lopez, brother brother relationship subway new york city new york subway train robbery
20,8012,Get Shorty,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",30250000, Comedy Thriller Crime,1995-10-20,12.669608,115101622.0,Barry Sonnenfeld, John Travolta Gene Hackman Rene Russo, gambling miami based on novel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con
22,9691,Assassins,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",50000000, Action Adventure Crime Thriller,1995-10-06,11.065939,30303072.0,Richard Donner, Sylvester Stallone Antonio Banderas Julianne Moore, competition assassination cia bank cat mexican standoff seattle hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle silencer double cross caribbean detroit michigan
24,451,Leaving Las Vegas,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",3600000, Drama Romance,1995-10-27,10.332025,49800000.0,Mike Figgis, Nicolas Cage Elisabeth Shue Julian Sands, individual prostitute alcohol casino love at first sight lovesickness film producer screenwriter hotel room dying and death rage and hate unsociability alcoholism los angeles alcohol abuse attempted suicide
26,9263,Now and Then,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",12000000, Comedy Drama Family,1995-10-20,8.681325,27400000.0,Lesli Linka Glatter, Christina Ricci Rosie O'Donnell Thora Birch, 1970s female friendship coming of age gynecologist photocopier truth or dare woman director
28,902,La Cité des Enfants Perdus,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",18000000, Fantasy Science Fiction Adventure,1995-05-16,9.822423,1738611.0,Jean-Pierre Jeunet, Ron Perlman Dominique Pinon Judith Vittet, clone dream island eye dystopia aging friendship rescue children girl childhood
30,9909,Dangerous Minds,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",0, Drama Crime,1995-08-11,9.481338,180000000.0,John N. Smith, Michelle Pfeiffer George Dzundza Courtney B. Vance, rap music karate high school naval officer teacher amusement park
31,63,Twelve Monkeys,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",29500000, Science Fiction Thriller Mystery,1995-12-29,12.297305,168840000.0,Terry Gilliam, Bruce Willis Madeleine Stowe Brad Pitt, schizophrenia philadelphia cassandra syndrom stockholm syndrome time travel post-apocalyptic dystopia lethal virus monkey subterranean
33,9598,Babe,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",30000000, Fantasy Drama Comedy Family,1995-07-18,14.404764,254134910.0,Chris Noonan, Christine Cavanaugh Miriam Margolyes Danny Mann, sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig
35,687,Dead Man Walking,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,11000000, Drama,1995-12-29,6.891317,39363635.0,Tim Robbins, Susan Sarandon Sean Penn Robert Prosky, prison rape socially deprived family penalty death penalty despair death row begnadigung therapist self-discovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage and hate unsociability right and justice court electric chair cowardliness
39,34615,"Cry, the Beloved Country",/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0, Drama,1995-12-15,0.894647,676525.0,Darrell James Roodt, James Earl Jones Charles S. Dutton Jack Robinson, south africa
43,9312,Mortal Kombat,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",18000000, Action Fantasy,1995-08-18,10.870138,122195920.0,Paul W.S. Anderson, Christopher Lambert Robin Shou Linden Ashby, martial arts monster island gore sorcerer tournament violence based on video game hand to hand combat
44,577,To Die For,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",20000000, Fantasy Drama Comedy Thriller,1995-05-20,10.448481,21284514.0,Gus Van Sant, Nicole Kidman Matt Dillon Joaquin Phoenix, adultery winter obsession television new hampshire narcissistic personality disorder
45,11861,How To Make An American Quilt,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",10000000, Drama Romance,1995-10-06,4.485958,23574130.0,Jocelyn Moorhouse, Winona Ryder Anne Bancroft Ellen Burstyn, wedding vows marriage proposal married couple monogamy advice marriage quilt love family holiday extramarital affair grandmother woman director
46,807,Se7en,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",33000000, Crime Mystery Thriller,1995-09-22,18.45743,327311859.0,David Fincher, Brad Pitt Morgan Freeman Gwyneth Paltrow, self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer
47,10530,Pocahontas,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",55000000, Adventure Animation Drama Family,1995-06-14,13.280069,346079773.0,Mike Gabriel, Irene Bedard Mel Gibson David Ogden Stiers, culture clash settler forbidden love colony musical gold rush princess romance native american animation virginia star crossed lovers reference to pizarro jamestown virginia pug dog cross cultural relationship musket animate tree indian chief based on myths or folklore 17th century shamanism songs indians vs. settlers animal sidekick powhatan land claim
49,629,The Usual Suspects,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",6000000, Drama Crime Thriller,1995-07-19,16.302466,23341568.0,Bryan Singer, Stephen Baldwin Gabriel Byrne Chazz Palminteri, law relatives theft criminal criminal mastermind hungarian sibling
51,11448,Mighty Aphrodite,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15000000, Comedy Romance,1995-09-13,15.899134,6700000.0,Woody Allen, Woody Allen Mira Sorvino Helena Bonham Carter, prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother independent film illegal prostitution child
56,9089,Home for the Holidays,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",0, Comedy Drama Romance,1995-11-02,8.416802,17519169.0,Jodie Foster, Holly Hunter Robert Downey Jr. Anne Bancroft, baltimore thanksgiving family clan family conflict generations conflict woman director
61,2054,Mr. Holland's Opus,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",0, Music Drama Family,1995-12-29,7.137117,106269971.0,Stephen Herek, Richard Dreyfuss Glenne Headly Jay Thomas, composer mentor deaf-mute musical apprentice private life music disabled
65,11525,Lawnmower Man 2: Beyond Cyberspace,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",0, Action Science Fiction,1996-01-12,2.49535,2409225.0,Farhad Mann, Patrick Bergin Matt Frewer Austin O'Brien, hacker virtual reality computer sword fight
68,10634,Friday,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",3500000, Comedy,1995-04-26,14.56965,28215918.0,F. Gary Gray, Ice Cube Chris Tucker Nia Long, rap music parent child relationship rapper job
69,755,From Dusk Till Dawn,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",19000000, Horror Action Thriller Crime,1996-01-19,15.339153,25836616.0,Robert Rodriguez, George Clooney Quentin Tarantino Harvey Keitel, dancing brother brother relationship sexual obsession showdown sheriff eroticism nudity bank robber vampire holy water siege stripper priest explosion extreme violence bank robbery preacher hostage situation crucifix recreational vehicle blood spurting convenience store female vampire mexican american border nightclub entertainer boa constrictor
70,11859,Fair Game,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",50000000, Action Thriller Romance,1995-11-03,5.912223,11534477.0,Andrew Sipes, William Baldwin Cindy Crawford Steven Berkoff, bomb miami sex detective handcuffs based on novel hostage fbi kidnapping russian kgb chase sadism parking garage pizza police protection psychopath remake car crash conspiracy on the run fugitive shootout gunfight sadist foot chase police detective police station car chase held at gunpoint fbi agent double cross cult film computer hacker machine gun swat team grenade launcher underwater scene rogue agent woman lawyer damsel in distress
71,28387,Kicking and Screaming,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",0, Comedy Drama Romance,1995-10-06,3.367276,718490.0,Noah Baumbach, Josh Hamilton Olivia d'Abo Carlos Jacott, college
73,20927,Bed of Roses,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",0, Drama Romance,1996-01-26,10.412194,19030691.0,Michael Goldenberg, Christian Slater Mary Stuart Masterson Pamela Adlon, florist family relationships
74,36929,Big Bully,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",15000000, Comedy Family,1996-01-26,2.936443,2042530.0,Steve Miner, Rick Moranis Tom Arnold Julianne Phillips, bully
75,9102,Screamers,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",20000000, Horror Science Fiction,1995-09-08,12.758848,5781885.0,Christian Duguay, Peter Weller Roy Dupuis Jennifer Rubin, man vs machine alien planet struggle for survival
80,400,Things to Do in Denver When You're Dead,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,8000000, Drama Crime,1995-12-01,4.486179,529766.0,Gary Fleder, Andy García Christopher Lloyd William Forsythe, father son relationship bounty hunter boat way of life coffin denver godmother paranoia hitman friendship psychopath revenge murder independent film mafia diner blood gangster violence illegal prostitution extramarital affair
85,10534,White Squall,/3a5nomeyzJF4gG26HouCtce99ki.jpg,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,38000000, Action Drama,1996-02-02,9.568604,10300000.0,Ridley Scott, Jeff Bridges Caroline Goodall John Savage, sailing trip diary sailing survival coming of age teenage boy discipline squall sail ship captain caribbean male bonding seasickness storm at sea 1960s
87,13997,Black Sheep,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",0, Comedy,1996-02-01,8.963037,32.0,Penelope Spheeris, Chris Farley David Spade Grant Heslov, nitrous oxide candid camera double act political satire crooked politician woman director
88,2086,Nick of Time,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",8169363, Crime Drama Thriller,1995-11-22,6.848591,8175346.0,John Badham, Johnny Depp Courtney Chase Charles S. Dutton, assassination train station politics los angeles
90,9095,Mary Reilly,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",47000000, Drama Horror Thriller Romance,1996-02-23,12.866139,12379402.0,Stephen Frears, Julia Roberts John Malkovich George Cole, servant monster laboratory jekyll and hyde housemaid 19th century
91,12158,Vampire in Brooklyn,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",14000000, Comedy Horror Romance,1995-10-26,9.071127,19800000.0,Wes Craven, Eddie Murphy Angela Bassett Allen Payne, vampire half vampire
93,9208,Broken Arrow,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",50000000, Action Adventure Drama Thriller,1996-02-09,14.957626,150270147.0,John Woo, John Travolta Christian Slater Samantha Mathis, helicopter river captain underground mexican standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park ranger desert military nuclear device boxing stealth aircraft abandoned mine humvee
99,13685,Bottle Rocket,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",7000000, Comedy Crime Drama,1996-02-21,6.904831,560069.0,Wes Anderson, Luke Wilson Owen Wilson Lumi Cavazos, brother brother relationship robbery burglar language barrier motel independent film psychiatric hospital maid theft nervous breakdown escapade laundry room
102,9614,Happy Gilmore,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",12000000, Comedy,1996-02-16,9.592265,41205099.0,Dennis Dugan, Adam Sandler Ben Stiller Christopher McDonald, loss of mother loss of father golf sport taxes
103,688,The Bridges of Madison County,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,24000000, Drama Romance,1995-05-28,5.951077,182016617.0,Clint Eastwood, Meryl Streep Clint Eastwood Annie Corley, farewell adultery love at first sight photographer wife husband relationship iowa love of one's life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary
105,10874,Muppet Treasure Island,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",0, Action Comedy Music Family Adventure,1996-02-16,6.902423,34327391.0,Brian Henson, Tim Curry Kevin Bishop Jennifer Saunders, island pirate gang puppet treasure hunt
108,197,Braveheart,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",72000000, Action Drama History War,1995-05-24,20.755149,210000000.0,Mel Gibson, Mel Gibson Catherine McCormack Sophie Marceau, individual scotland in love with enemy legend independence idealism revolt tyranny
109,103,Taxi Driver,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",1300000, Crime Drama,1976-02-07,14.092713,28262574.0,Martin Scorsese, Robert De Niro Cybill Shepherd Harvey Keitel, vietnam veteran taxi obsession drug dealer night shift vigilante alienation misanthrope shot to death illegal prostitution loner
